Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.02,-95.774,90.0,top
C2,2200pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.664,-106.061,0.0,bottom
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.62,-80.19,0.0,top
C4,2200pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.568,-106.061,0.0,bottom
C5,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.886,-92.218,0.0,top
C7,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.642,-80.788,0.0,top
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,188.82,-93.14,180.0,top
C12,470p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.22,-77.14,90.0,top
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.57,-99.14,0.0,bottom
R1,3k3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,132.08,-80.026,0.0,top
R2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.642,-87.392,180.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.642,-84.09,0.0,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.642,-77.486,0.0,top
R5,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,195.82,-86.39,0.0,top
R6,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.57,-81.14,90.0,top
